ts_s,temp_C_raw,temp_C_filt,moist_pct_raw,moist_pct_filt,press_kPa_raw,press_kPa_filt,vib_raw,vib_filt,fsm_state,heater_en,fan_pwm,valve,alarms_mask,fifo_occ
4.1,45.15234375,45.31640625,30.6796875,24.41015625,108.8203125,111.3671875,3.7734375,4.0859375,2,1,200,0,0x0000,5
4.2,45.4375,45.33203125,30.03125,24.41015625,109.01953125,111.37890625,3.77734375,4.078125,2,1,200,0,0x0000,5
4.3,45.38671875,45.34765625,30.31640625,24.3671875,108.93359375,111.40625,3.75390625,4.0859375,2,1,200,0,0x0000,5
4.4,45.43359375,45.37109375,31.04296875,25.6953125,108.859375,110.89453125,3.78125,4.01953125,2,1,200,1,0x0000,5
4.5,45.51171875,45.38671875,20.76171875,25.6953125,113.0546875,110.90625,4.328125,4.02734375,2,1,200,1,0x0000,5
4.6,45.4375,45.390625,19.98828125,25.57421875,113.06640625,110.9296875,4.30078125,4.03125,2,1,200,1,0x0000,5
4.7,45.48046875,45.40234375,20.41015625,25.4921875,112.90625,110.94140625,4.25,4.03515625,2,1,200,1,0x0000,5
4.8,45.3203125,45.39453125,20.66015625,25.484375,112.89453125,110.94140625,4.203125,4.01953125,2,1,200,1,0x0000,5
4.9,45.32421875,45.4140625,20.328125,24.19140625,112.921875,111.45703125,4.24609375,4.078125,2,1,200,0,0x0000,5
5.0,45.4140625,45.41015625,30.04296875,24.19140625,108.9921875,111.453125,3.69921875,4.0703125,2,1,200,0,0x0000,6
5.1,45.359375,45.41015625,30.6328125,24.23046875,108.87890625,111.4453125,3.76171875,4.0703125,2,1,200,0,0x0000,7
5.2,45.31640625,45.39453125,30.15625,24.12109375,108.9609375,111.45703125,3.78125,4.0703125,2,1,200,0,0x0000,7
5.3,45.484375,45.390625,31.09375,25.4140625,108.92578125,110.94140625,3.76171875,4.0,2,1,200,1,0x0000,8
5.4,45.20703125,45.36328125,20.625,25.4921875,112.796875,110.90625,4.2265625,3.98828125,2,1,200,1,0x0000,8
5.5,45.28515625,45.3359375,20.60546875,25.515625,113.01171875,110.921875,4.265625,3.9921875,2,1,200,1,0x0000,9
5.6,45.546875,45.3671875,20.86328125,25.54296875,113.109375,110.94921875,4.2421875,3.99609375,2,1,200,1,0x0000,9
5.7,45.265625,45.359375,20.59765625,25.57421875,113.05859375,110.96484375,4.22265625,3.9921875,2,1,200,1,0x0000,10
5.8,45.53515625,45.375,20.60546875,24.39453125,113.015625,111.46875,4.23828125,4.0625,2,1,200,0,0x0000,11
5.9,45.4765625,45.38671875,30.46484375,24.375,108.875,111.46875,3.73828125,4.05859375,2,1,200,0,0x0000,11
6.0,45.4453125,45.40234375,31.1875,24.50390625,108.8359375,111.453125,3.75390625,4.0546875,2,1,200,0,0x0000,12
6.1,45.3671875,45.390625,31.01171875,24.4921875,108.890625,111.44921875,3.8359375,4.0625,2,1,200,0,0x0000,12
6.2,45.48828125,45.42578125,30.58984375,25.73828125,108.953125,110.96875,3.78125,4.0078125,2,1,200,1,0x0000,13
6.3,45.53515625,45.45703125,20.90625,25.77734375,112.92578125,110.95703125,4.21875,4.00390625,2,1,200,1,0x0000,13
