fref,fcar,A_use,V1_proxy,THD_proxy,switch_edges_proxy
2.0,40.0,0.036000000000000004,0.035987483578077475,1.2255363604292653,80
5.0,100.0,0.09000000000000001,0.08996779170988546,1.2179883064145989,80
10.0,200.0,0.18000000000000002,0.17922127339328878,1.1879392715958919,80
15.0,300.0,0.27,0.26989876620623693,1.1428491755420485,80
25.0,500.0,0.45,0.4505247905951879,1.0125616193184486,80
50.0,1000.0,0.9,0.8967072447747046,0.6668477290034538,80
