frame_seq,ts_ms,tick,proto_id,payload_len,header_hex,crc16_hex,frame_len
128,18100,181,1,32,4c20012000,E2F1,41
129,18300,183,1,32,4c20012000,46FB,41
130,18600,186,1,32,4c20012000,E01F,41
131,18800,188,1,32,4c20012000,D66D,41
132,19000,190,1,32,4c20012000,A370,41
133,19200,192,1,32,4c20012000,8D7C,41
134,19400,194,1,32,4c20012000,3225,41
135,19600,196,1,32,4c20012000,3AEF,41
136,19800,198,1,32,4c20012000,EF40,41
137,20000,200,0,32,11032000,5B27,40
138,20100,201,0,32,11032000,B1D0,40
139,20200,202,0,32,11032000,DE99,40
140,20300,203,0,32,11032000,C1CF,40
141,20400,204,0,32,11032000,D5CE,40
142,20500,205,0,32,11032000,063F,40
143,20600,206,0,32,11032000,E717,40
144,20700,207,0,32,11032000,9487,40
145,20900,209,0,32,11032000,1C59,40
146,21000,210,0,32,11032000,0257,40
147,21100,211,0,32,11032000,3EF5,40
148,21200,212,0,32,11032000,5E43,40
149,21300,213,0,32,11032000,8D92,40
150,21400,214,0,32,11032000,DC20,40
151,21500,215,0,32,11032000,B8D4,40
152,21600,216,0,32,11032000,5EB9,40
153,21700,217,0,32,11032000,05F7,40
154,21800,218,0,32,11032000,2650,40
155,21900,219,0,32,11032000,B240,40
156,22000,220,0,32,11032000,3F9A,40
157,22100,221,0,32,11032000,B51D,40
158,22200,222,0,32,11032000,C220,40
159,22300,223,0,32,11032000,DDD5,40
160,22400,224,0,32,11032000,EADA,40
161,22500,225,0,32,11032000,FA53,40
162,22700,227,0,32,11032000,F84E,40
163,22800,228,0,32,11032000,C0E6,40
164,22900,229,0,32,11032000,2BFD,40
165,23000,230,0,32,11032000,3C02,40
166,23100,231,0,32,11032000,030B,40
167,23200,232,0,32,11032000,672E,40
168,23300,233,0,32,11032000,2E6A,40
169,23400,234,0,32,11032000,A1F4,40
170,23500,235,0,32,11032000,8081,40
171,23600,236,0,32,11032000,E5DB,40
172,23700,237,0,32,11032000,720D,40
173,23800,238,0,32,11032000,667F,40
174,24000,240,0,32,11032000,E4E1,40
175,24100,241,0,32,11032000,B8B7,40
176,24200,242,0,32,11032000,AB55,40
177,24300,243,0,32,11032000,D4A3,40
178,24400,244,0,32,11032000,916A,40
179,24500,245,0,32,11032000,4463,40
180,24600,246,0,32,11032000,C716,40
181,24700,247,0,32,11032000,6809,40
182,24800,248,0,32,11032000,A929,40
183,24900,249,0,32,11032000,E929,40
184,25000,250,1,32,4c20012000,6224,41
185,25300,253,1,32,4c20012000,341C,41
186,25500,255,1,32,4c20012000,EEF8,41
187,25700,257,1,32,4c20012000,EEC9,41
188,25900,259,1,32,4c20012000,3BCE,41
189,26100,261,1,32,4c20012000,D02D,41
190,26300,263,1,32,4c20012000,FFAA,41
191,26500,265,1,32,4c20012000,3798,41
192,26700,267,1,32,4c20012000,8B32,41
193,26900,269,1,32,4c20012000,F3D9,41
194,27100,271,1,32,4c20012000,1232,41
195,27300,273,1,32,4c20012000,3C11,41
196,27600,276,1,32,4c20012000,5EFD,41
